Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"C1, C2, C3",3,100nF,C_Disc_D4.3mm_W1.9mm_P5.00mm,,,,tht,Unpolarized capacitor,,,,,,
C4,1,150uF,CP_Radial_D8.0mm_P3.50mm,,,,tht,Polarized capacitor,,,,,,
"D1, D2, D3, D4, D5, D6, D7, D8",8,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,"100V 0.15A standard switching diode, DO-35",D,1=K 2=A,,,,
J1,1,KMDGX-9S-BS-1,KMDGX9SBS1,,KMDGX-9S-BS-1,,tht,"9 Position Circular Connector Receptacle, Female Sockets Solder , 12VDC , -25C ~ 80C",,,13.3,806-KMDGX-9S-BS-1,https://www.mouser.co.uk/ProductDetail/Kycon/KMDGX-9S-BS-1?qs=3jNSNtuqJTLHFNoAAeP35w%3D%3D,Kycon
"J10, J11",2,c-sync,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J12,1,Composite video,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J13,1,Composite video to scart,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J14,1,5v,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J15,1,12v,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J16,1,GND,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J17,1,SCART-F,scart F,,,,tht,,,,,,,
J18,1,Csync to din,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J19,1,Composite video to din,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J2,1,SND,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J3,1,C. BLK,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J4,1,"L (pin 10, 8245)",PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J5,1,"P17 (pin 34, 8048)",PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J6,1,"R (pin 18, 8245)",PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J7,1,"G (pin 19, 8245)",PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J8,1,"B (pin 20, 8245)",PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
J9,1,Composite,PinSocket_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,
LS1,1,Speaker,PinSocket_2x01_P2.54mm_Vertical,,,,tht,Speaker,,,,,,
"Q1, Q2, Q4",3,BC548,TO-92_Wide,,,,tht,"0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",,,,,,
Q3,1,BC558,TO-92_Wide,,,,tht,"0.1A Ic, 30V Vce, PNP Small Signal Transistor, TO-92",,,,,,
R1,1,100,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
"R10, R11, R13",3,1.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
"R12, R14, R9",3,560,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R15,1,220,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
"R16, R6",2,680,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R17,1,3.3K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R18,1,22,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R2,1,470,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R3,1,47,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R4,1,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
R5,1,180,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
"R7, R8",2,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,
RV1,1,1k,Potentiometer_Piher_PT-10-V10_Vertical,,,,tht,Potentiometer,,,,,,
RV2,1,220,Potentiometer_Runtron_RM-065_Vertical,,,,tht,Potentiometer,,,,,,
U1,1,7407,DIP-14_W7.62mm_LongPads,,,,tht,Hex Buffers and Drivers With Open Collector High Voltage Outputs,,,,,,
U2,1,74LS08,DIP-14_W7.62mm_LongPads,,,,tht,Quad And2,,,,,,
U3,1,74LS00,DIP-14_W7.62mm_LongPads,,,,tht,quad 2-input NAND gate,,,,,,
